artist,name,id,url,date_added
Rochak Kohli,Paniyon Sa,2si0ZNx4yRbggTvrIom8A2,https://i.scdn.co/image/ab67616d00001e029742672a11faf728dea4b1cd,2020-04-26 22:01:10+00:00
Ash King,"Nazar Na Lag Jaaye (From ""Stree"")",0cWLJcdvM6QlOQ7UJdB4jb,https://i.scdn.co/image/ab67616d00001e02dc0eee8fc90686b176a4336e,2020-04-26 22:00:50+00:00
Pritam,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,https://i.scdn.co/image/ab67616d00001e0252fe6875028c892308ffc2f7,2020-04-26 22:00:47+00:00
Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",7aE1lfskJLMHQnzCCP1zsV,https://i.scdn.co/image/ab67616d00001e02dc9563139ebc2a5597254664,2020-04-26 22:00:41+00:00
Atif Aslam,O Saathi,6fScgF2Y63ScU73nYju0ny,https://i.scdn.co/image/ab67616d00001e023b7ae221866b5e81daf4483f,2020-04-26 22:00:38+00:00
,,6qrb4ganbSTzcDDOo1pzMT,,2020-04-26 21:59:59+00:00
,,0xkGTPTijMU84dtHr3KQQi,,2020-04-26 21:59:55+00:00
,,6pzlnyHTVYi5FOmrgOmC95,,2020-04-26 21:59:50+00:00
Vishal Mishra,Kaise Hua,5w0Xpt2YHT2Y3z3e4UUJP7,https://i.scdn.co/image/ab67616d00001e02c5545f737b16ad5ee767b62a,2020-04-26 21:59:44+00:00
Arijit Singh,Tujhe Kitna Chahne Lage,5QtEFRYavs5S3GHtFEq7A4,https://i.scdn.co/image/ab67616d00001e02c5545f737b16ad5ee767b62a,2020-04-26 21:59:40+00:00
Sachet Tandon,Mere Sohneya,7sJQv0LRPgM2xCkkdWOlyj,https://i.scdn.co/image/ab67616d00001e02c5545f737b16ad5ee767b62a,2020-04-26 21:59:36+00:00
Akhil Sachdeva,Tera Ban Jaunga,3oWxFNsXstcancCR1wODR4,https://i.scdn.co/image/ab67616d00001e02c5545f737b16ad5ee767b62a,2020-04-26 21:59:32+00:00
Armaan Malik,Pehla Pyaar,0ojpEubhy4JNeVftmVuiN7,https://i.scdn.co/image/ab67616d00001e02c5545f737b16ad5ee767b62a,2020-04-26 21:59:28+00:00
Atif Aslam,Darasal,3OZLwCFeWOCFHTlIIrwzmO,https://i.scdn.co/image/ab67616d00001e022e44757f6ea4eb34d2a0d42f,2020-04-26 21:59:23+00:00
A.R. Rahman,Enna Sona,6bdpj89aYEBjhpsenXAsmO,https://i.scdn.co/image/ab67616d00001e02007759a309e7364ffc5f664a,2020-04-26 21:59:19+00:00
Bobby-Imran,Tu Har Lamha,2EPOgSRhA90xWGVtNZwEv8,https://i.scdn.co/image/ab67616d00001e028d07544fddf5b7d9a1e41554,2020-04-26 21:59:15+00:00
Mithoon,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",2U0BLmYoSESYOdwMxW2yA9,https://i.scdn.co/image/ab67616d00001e02cdbd409f7fb9e87046a6abef,2020-04-26 21:59:10+00:00
Pritam,"Shayad (From ""Love Aaj Kal"")",018eOid2aGaPdxon7T6GsC,https://i.scdn.co/image/ab67616d00001e025ce250ed772675c347a34f64,2020-04-26 21:59:04+00:00
Sachet Tandon,"Humraah (From ""Malang - Unleash The Madness"")",4xmkpE1Si5JL7NFxWrhV0S,https://i.scdn.co/image/ab67616d00001e0240494b35d483ac255db4ce93,2020-04-26 21:58:59+00:00
Ved Sharma,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",25MPTnqXQB1H6OkwSYUXWx,https://i.scdn.co/image/ab67616d00001e0299655481a2151203ed89351d,2020-04-26 21:58:54+00:00
Pritam,Khairiyat,5O932cZmzOZGOGZz9RHx20,https://i.scdn.co/image/ab67616d00001e02eaa6b4bfb5954ee5a5a8ce9e,2020-04-26 21:58:47+00:00
Pritam,Tujhe Sochta Hoon,47l2Dd3XPBLio3kjbEMyDJ,https://i.scdn.co/image/ab67616d00001e0271da5e89467bd75d2ed9f1fa,2020-04-26 21:58:37+00:00
Arijit Singh,Phir Kabhi,4jk4CaqBMBbMZhf3PuR1ai,https://i.scdn.co/image/ab67616d00001e0202dde7bfff94df00c8b76eb4,2020-04-26 21:58:20+00:00
Pritam,Tujhko Jo Paaya,62kyw2ux2p0CZ7pKWtM6QO,https://i.scdn.co/image/ab67616d00001e02c32737e2c7f606beecbf1bae,2020-04-26 21:57:45+00:00
